sessao_tecnica;cadeira;artigo;autores
ST1 –  E-Health and Accessibility 14:00 às 15:20;Maria da Graça Campos Pimentel;A Two-Stream Model Based on 3D Convolutional Neural Networks for the Recognition of Brazilian Sign Language in the Health Context;Diego R.B. da Silva (UFPB), Tiago Maritan U. Araujo (UFPB), Thais G. do Rêgo (UFPB), Manuella A.C. Brandão (UFPB)
ST1 –  E-Health and Accessibility 14:00 às 15:20;Maria da Graça Campos Pimentel;Using Data Augmentation and Neural Networks to Improve the Emotion Analysis of Brazilian Portuguese Texts;Vinícius Veríssimo (UFPB), Rostand Costa (UFPB)
ST1 –  E-Health and Accessibility 14:00 às 15:20;Maria da Graça Campos Pimentel;Analyzing the Use of Covid-19 Ads on Facebook;Márcio Silva (UFMS), Fabricio Benevenuto (UFMG)
ST1 –  E-Health and Accessibility 14:00 às 15:20;Maria da Graça Campos Pimentel;Analyzing YouTube Videos Shared on Whatsapp in the Early COVID-19 Crisis;Marisa Vasconcelos (IBM Research), Erica Pereira (UFMG), Samuel S. Guimarães (UFMG), Manoel H. Ribeiro (EPFL, Switzerland), Philipe Melo (UFMG), Fabrício Benevenuto (UFMG)
ST1 –  E-Health and Accessibility 14:00 às 15:20;Maria da Graça Campos Pimentel;Technologies applied in the care of patients with Alzheimer’s disease: a systematic review;Savanna D. Machado (Unisinos), Jorge Luis V. Barbosa (Unisinos)
ST2 – Smart Cities 15:30 às 17:00;Windson Viana De Carvalho;A Generative Approach for Android Sensor-based Applications;Tarik Ponciano (UFC), Davi Tabosa (UFC), Windson de C. Viana (UFC), Paulo Duarte (UFC), Rafael Carmo (UFC)
ST2 – Smart Cities 15:30 às 17:00;Windson Viana De Carvalho;Understanding the Performance Impacts Of Cross-Platform Development On IoT Applications;Fabio C. dos Santos (PUC Minas), Humberto T. Marques-Neto (PUC Minas), Raquel A. de F. Mini (PUC Minas)
ST2 – Smart Cities 15:30 às 17:00;Windson Viana De Carvalho;Recognition of Human Activities via Wearable Sensors: Variables Identified in a Systematic Mapping;Luciana De Nardin (USP), Kamila R.H. Rodrigues (USP), Larissa C. Zimmermann (USP), Brunela D.M. Orlandi (USP), Maria da Graca C. Pimentel (USP)
ST2 – Smart Cities 15:30 às 17:00;Windson Viana De Carvalho;Design and Development of a Wearable Device for Monitoring Social Distance using Received Signal Strength Indicator;Andre O. Cunha (UFES), Joana V. Loureiro (UFES), Rodrigo L. Guimarães (UFES)
ST2 – Smart Cities 15:30 às 17:00;Windson Viana De Carvalho;Crowd-Auto: Locating Theft Vehicles Through Urban Crowdsensing;Alessandro Baldi (UFES), Vinicius F.S. Mota (UFES), Celso A.S. Santos (UFES)
ST3 – Linked Data, Semantics and Ontologies 09:00 às 10:50;Fernando Antonio Mota Trinta;An Approach for Improving DBpedia as a Research Data Hub;Jean Gabriel N. Ngomo (UFRJ), Giseli R. Lopes (UFRJ), Maria Luiza M. Campos (UFRJ), Maria Claudia Cavalcanti (IME)
ST3 – Linked Data, Semantics and Ontologies 09:00 às 10:50;Fernando Antonio Mota Trinta;An Ontology-based Information Model for Multi-Domain Semantic Modeling and Analysis of Smart City Data;Bartira D. Rocha (UERN), Larysse Silva (UFRN), Thais Batista (UFRN), Everton Cavalcante (UFRN), Porfirio Gomes (UFRN)
ST3 – Linked Data, Semantics and Ontologies 09:00 às 10:50;Fernando Antonio Mota Trinta;An RDF based approach for integrating data at different levels of abstraction;Jones de O. Avelino (IME, CASNAV), Kelli de F. Cordeiro (IME, CASNAV), Maria Claudia Cavalcanti (IME)
ST3 – Linked Data, Semantics and Ontologies 09:00 às 10:50;Fernando Antonio Mota Trinta;Semantic similarity attributes for Data Cloud: A Case Study in MIDAS;Babacar Mane (UFBA), Witã dos S. Rocha (UFBA), Edmilson Lima (UFBA), Daniela B. Claro (UFBA)
ST4 – Media Content Analysis I 14:00 as 15:20;Tiago Bonini Borchartt;A Cluster-Matching-Based Method for Video Face Recognition;Paulo Renato C. Mendes (PUC-Rio), Antonio José G. Busson (PUC-Rio), Sérgio Colcher (PUC-Rio), Daniel Schwabe (PUC-Rio), Alan Lívio V. Guedes (Puc-Rio), Carlos Laufer (PUC-Rio)
ST4 – Media Content Analysis I 14:00 as 15:20;Tiago Bonini Borchartt;A Crowdsourcing Method for Sign Segmentation in Brazilian Sign Language Videos;Marcello N. de Amorim (UFES), Celso A.S. Santos (UFES), Orivaldo de L. Tavares (UFES)
ST4 – Media Content Analysis I 14:00 as 15:20;Tiago Bonini Borchartt;Evaluating Early Fusion Operators at Mid-Level Feature Space;Antonio A.R. Beserra (USP), Rodrigo M. Kishi (UFMS), Rudinei Goularte (USP)
ST4 – Media Content Analysis I 14:00 as 15:20;Tiago Bonini Borchartt;VolleyJump 2.0: A Computational Approach to Analysis and Classification of Volleyball Jumps Based on Multiple Inertial Devices;Michael F. de Sousa (UFC), Fernando Trinta (UFC)
ST4 – Media Content Analysis I 14:00 as 15:20;Tiago Bonini Borchartt;Automatic Content Quality Estimation Using Deep Neural Networks in Collaborative Encyclopedias on the Web;Clara D.A. Marques (CEFET-MG), Nicolas G. Rezende (CEFET-MG), Daniel H. Dalip (CEFET-MG), Marcos A. Gonçalves (UFMG)
ST5 – Media Content Analysis II 15:30 às 17:00
;Alan L V Guedes;Decoder-Side Quality Enhancement for JPEG Images Using Deep Learning-Based Prediction Models for Quantized DCT Coefficients;Antonio José G. Busson (PUC-Rio), Paulo Renato C. Mendes (PUC-Rio), Daniel de S. Moraes (PUC-Rio), Álvaro Mário G. da Veiga (PUC-Rio), Sérgio Colcher (PUC-Rio), Álan Lívio V. Guedes (PUC-Rio)
ST5 – Media Content Analysis II 15:30 às 17:00
;Alan L V Guedes;Investigating Subjectivity Criterion for Multi-video Summarization;Tamires T. de S. Barbieri (USP), Rudinei Goularte (USP)
ST5 – Media Content Analysis II 15:30 às 17:00
;Alan L V Guedes;4MuLA: A Multitask, Multimodal, and Multilingual Dataset of Music Lyrics and Audio Features;Angelo Cesar M. Silva (USP), Diego F. Silva (UFSCar), Ricardo M. Marcacini(USP)
ST5 – Media Content Analysis II 15:30 às 17:00
;Alan L V Guedes;AS-ProCBE: An Architectural Model for Adaptive Security through Progressive Context-Based Enrichment;Ricardo B. Almeida (UFPEL), Roger S. Machado (IFsul), Lucas M. Donato (De Montfort Univ.), Adenauer C. Yamin (UCPEL), Ana Marilza Pernas (UFPEL)
ST5 – Media Content Analysis II 15:30 às 17:00
;Alan L V Guedes;Toward Assessing the Quality of Subtitles based on SRT Files Processing;Thiago Felipe C. Borges (UFES), Rodrigo L. Guimarães (UFES)
ST6 – Recommender Systems I 09:00 às 10:50;Jose Valdeni;Collaborative Filtering Strategy for Product Recommendation Using Personality Characteristics of Customers;Janderson Jason B. Aguiar (UFCG), Joseana M. Fechine (UFCG), Evandro de B. Costa (UFAL)
ST6 – Recommender Systems I 09:00 às 10:50;Jose Valdeni;Mitigating Matching Scarcity in Recruitment Recommendation Domains;Alan Cardoso (UFSJ), Fernando Mourão (Seek AIPS), Leonardo Rocha (UFSJ)
ST6 – Recommender Systems I 09:00 às 10:50;Jose Valdeni;The impact of first recommendations based on exploration or exploitation approaches in recommender systems’ learning;Thiago Silva (UFSJ), Nícollas Silva (UFMG), Heitor Werneck (UFSJ), Adriano C.M. Pereira (UFMG), Leonardo Rocha (UFSJ)
ST6 – Recommender Systems I 09:00 às 10:50;Jose Valdeni;WordRecommender: An Explainable Content-Based Algorithm based on Sentiment Analysis and Semantic Similarity;André L. Zanon (USP), Luan Souza (USP), Diany Pressato (USP), Marcelo G. Manzato (USP)
ST7 – Recommender Systems II 14:00 às 15:20;Leonardo Rocha;A Survey on Point-of-Interest Recommendation in Location-based Social Networks;Heitor Werneck (UFSJ), Nícollas Silva (UFMG), Matheus C. Viana (UFSJ), Fernando Mourão (Seek AI Labs), Adriano C.M. Pereira (UFMG), Leonardo Rocha (UFSJ)
ST7 – Recommender Systems II 14:00 às 15:20;Leonardo Rocha;Exploiting Graph Similarities with Clustering to Improve Long Tail Itens Recommendations;Diogo Vinicius de S. Silva (UFBA), Amanda C. de Oliveira (UFBA), Francisleide Almeida (UFBA), Frederico Araújo Durão (UFBA)
ST7 – Recommender Systems II 14:00 às 15:20;Leonardo Rocha;An approach to recommendation systems oriented towards the perspective of tourist experiences;Bonny K.S. dos Santos (IFCE), Gilberto A. de A. Cysneiros Filho (UFRPE), Yuri A. Lacerda (IFCE)
ST7 – Recommender Systems II 14:00 às 15:20;Leonardo Rocha;Combining complementary diversification models for personalized POI recommendations;Heitor Werneck (UFSJ), Nícollas Silva (UFMG), Fernando Mourão (Seek AI Labs), Adriano C.M. Pereira (UFMG), Leonardo Rocha (UFSJ)
ST7 – Recommender Systems II 14:00 às 15:20;Leonardo Rocha;Investigating the Role of Personalization When Creating Relaxing Playlists;Daniel Mélo (IFPB)
ST8 – Social Networks I 15:30 às 17:00;Alessandra Alaniz Macedo;A Linguistic-Based Method that Combines Polarity, Emotion and Grammatical Characteristics to Detect Fake News in Portuguese;Marcelo P. de Souza (IME), Flávio Roberto M. da Silva (IME), Paulo Márcio S. Freire (IME), Ronaldo R. Goldschmidt (IME)
ST8 – Social Networks I 15:30 às 17:00;Alessandra Alaniz Macedo;An Evaluation of Structural Characteristics of Networks to Identify Media Bias in News Portals;Victoria Aires (UFAM), Altigran da Silva (UFAM), Fabiola Nakamura (UFAM), Eduardo Nakamura (UFAM)
ST8 – Social Networks I 15:30 às 17:00;Alessandra Alaniz Macedo;Analysis of the Subjectivity Level in Fake News fragments;Lucas L. Vieira (UFCG), Caio L.M. Jeronimo (UFCG), Claudio E.C. Campelo (UFCG), Leandro B. Marinho (UFCG)
ST8 – Social Networks I 15:30 às 17:00;Alessandra Alaniz Macedo;FakeNewsSetGen: a Process to Build Datasets that Support Comparison Among Fake News Detection Methods;Flávio Roberto M. da Silva (IME), Paulo Márcio S. Freire (IME), Marcelo P. de Souza (IME), Gustavo de A.B. Plenamente (IME), Ronaldo R. Goldschmidt (IME)
ST8 – Social Networks I 15:30 às 17:00;Alessandra Alaniz Macedo;Data Augmentation for improving Hate Speech Detection on Social Networks;Lígia I. Venturott (UFES), Patrick M. Ciarelli (UFES)
ST8 – Social Networks I 15:30 às 17:00;Alessandra Alaniz Macedo;; 
ST9 – Social Networks II 09:00 às 10:50;Celso Alberto Saibel Santos;Characterizing Toxicity on Facebook Comments in Brazil;Samuel S. Guimarães (UFMG), Julio C.S. Reis (UFMG), Filipe N. Ribeiro (UFOP), Fabrício Benevenuto (UFMG)
ST9 – Social Networks II 09:00 às 10:50;Celso Alberto Saibel Santos;Inferring cultural similarity among Brazilian states based on data from social media advertising platforms;Ronaldo L. Inocêncio Júnior (UFOP), Filipe N. Ribeiro (UFOP)
ST9 – Social Networks II 09:00 às 10:50;Celso Alberto Saibel Santos;Analyzing a Touristic Event Popularity Using Social Networks;Pedro P. Lopes (PUC Minas), Humberto T. Marques-Neto (PUC Minas)
ST9 – Social Networks II 09:00 às 10:50;Celso Alberto Saibel Santos;Identifying Criminal Suspects on Social Networks: A Vocabulary-Based Method;Érick S. Florentino (IME), Ronaldo R. Goldschmidt (IME), Maria Claudia Cavalcanti (IME)
ST9 – Social Networks II 09:00 às 10:50;Celso Alberto Saibel Santos;SucupiraBot: An Interactive Question-Answering System for the Sucupira Platform;Ivan Pereira (PUC-Rio), Jéssica Sousa (PUC-Rio), Polyana B. Costa (UFMA), Simone D.J. Barbosa (PUC-Rio), Sérgio Colcher (PUC-Rio)
ST10 – Markup Languages, Systems and Middleware 14:00 as 15:20;Joel André Ferreira dos Santos;Extending Ginga-NCL to Specify Multimodal Interactions With Multiple Users;Fábio Barreto (UFF, UNILASALLE), Raphael S. de Abreu (UFF, UNILASALLE), Eyre B.B. Montevecchi (UFF), Marina I.P. Josue (UFF), Pedro A. Valentim (UFF), Débora C. Muchaluat-Saade (UFF)
ST10 – Markup Languages, Systems and Middleware 14:00 as 15:20;Joel André Ferreira dos Santos;Interactive 360-degree Videos in Ginga-NCL Using Head-Mounted-Displays as Second Screen Devices;Gabriel Souza (CEFET/RJ), Daniel Silva (CEFET/RJ), Matheus Delgado (CEFET/RJ), Renato Rodrigues (CEFET/RJ), Paulo Renato C. Mendes (PUC-Rio), Glauco F. Amorim (CEFET/RJ), Alan Lívio V. Guedes (PUC-Rio), Joel dos Santos (CEFET/RJ)
ST10 – Markup Languages, Systems and Middleware 14:00 as 15:20;Joel André Ferreira dos Santos;Providing Eye Gaze Interaction for Ginga-NCL Applications;Eyre B.B. Montevecchi (UFF), Marina I.P. Josué (UFF), Fábio Barreto (UFF, UNILASALLE), Raphael S. de Abreu (UFF, UNILASALLE), Débora C. Muchaluat-Saade (UFF)
ST10 – Markup Languages, Systems and Middleware 14:00 as 15:20;Joel André Ferreira dos Santos;EXEHDA-DEP: An Architecture to Distributed Complex Event Processing;Weslen Souza (UFPel), Ana Marilza Pernas (UFPel)
ST11 – Web Data Analysis 15:30 às 17:00;Manoel Carvalho Marques Neto;A Similarity Function for HTML Lists;Filipe G. Venâncio (UFSC), Ronaldo dos S. Mello (UFSC)
ST11 – Web Data Analysis 15:30 às 17:00;Manoel Carvalho Marques Neto;Characterization and Analysis of Open Brazilian Judiciary Data;Danilo B. Seufitelli (UFMG), Weverton R.R. Mata (IFMG), Rafael C. Souza (IFMG), Michele A. Brandão (IFMG), Mirella M. Moro (UFMG)
ST11 – Web Data Analysis 15:30 às 17:00;Manoel Carvalho Marques Neto;Classifying Web page features to detect DaaS;Israel C. Motta Neto (UFBA), Daniela B. Claro (UFBA)
ST11 – Web Data Analysis 15:30 às 17:00;Manoel Carvalho Marques Neto;Mining Portuguese Comparative Sentences in Online Reviews;Daniel Kansaon (UFMG), Michele A. Brandão (IFMG), Julio C.S. Reis (UFMG), Matheus Barbosa (UFMG), Breno Matos (UFMG), Fabrício Benevenuto (UFMG)
ST11 – Web Data Analysis 15:30 às 17:00;Manoel Carvalho Marques Neto;MSL-DE: A Lexical Substitution Method based on Dictionaries and Embeddings;Isaias F. Januario (UFOP), Álvaro R. Pereira Jr. (UFOP)
